,x,y,z,joint1,joint2,joint3,joint4,joint5,joint6,gripper
177,-44.58562673122856,235.99731738513668,203.18453903648376,113.019535,53.398922,44.565288,13.106696,-96.029675,-3.306883,1.0
178,-47.99726841994682,234.71059868586644,201.7669937955089,113.019535,53.398922,44.565058,13.216532,-96.029675,-3.317884,1.0
179,-51.24145216033691,233.26457657264805,199.6670746851746,113.019535,53.398922,44.564944,13.392316,-96.025091,-3.317884,1.0
180,-54.26729791850803,231.631753972548,196.63775754757637,113.019535,53.398922,44.564944,13.436261,-96.025091,-3.328885,1.0
181,-56.98867336470744,229.7989229666867,192.58680835787183,113.019535,53.398922,44.564944,13.436261,-96.025091,-3.328885,1.0
182,-59.29240046830742,227.79618241196673,187.64658347431202,113.019535,53.398922,44.564944,13.436261,-96.025091,-3.328885,1.0
183,-61.15637747255269,225.8294246576875,182.0835230671025,113.019535,53.398922,44.564944,13.480207,-96.025091,-3.328885,1.0
184,-62.8716164563248,224.6370854013901,176.43041476649447,113.019535,53.398922,44.564944,13.546155,-96.025091,-3.328885,1.0
185,-64.84605726865813,225.12544810861087,171.2926230106526,113.019535,53.398922,44.564829,13.831774,-96.025091,-3.328885,1.0
186,-67.27663815109314,227.66877960907132,166.9590437297586,113.019535,53.398922,44.5646,13.853776,-96.020507,-3.328885,1.0
187,-70.05152223934606,231.89235355226234,163.2812242599349,113.019535,53.398922,44.5646,13.853776,-96.020507,-3.328885,1.0
188,-72.92902803091039,237.13315408477348,159.96125362556597,113.019535,53.398922,44.564485,13.853776,-96.020507,-3.328885,1.0
189,-75.47925265011911,242.350431297311,156.5397922603691,113.019535,53.398922,44.564485,13.864719,-96.020507,-3.328885,1.0
190,-77.2572008339736,246.43608001674104,152.53225886252275,113.019535,53.398922,44.564485,13.974613,-96.020507,-3.328885,1.0
191,-78.22708566221607,248.88141623389643,147.72222954845904,113.019535,53.398922,44.564371,13.974613,-96.020507,-3.328885,1.0
192,-78.85896620884962,249.9545811812359,142.2475387570937,113.019535,53.398922,44.564371,14.084449,-96.020507,-3.328885,1.0
193,-79.55799543901861,250.03052279687108,136.35018998485012,113.019535,53.398922,44.564371,14.128394,-96.020507,-3.328885,1.0
194,-80.17561962431405,249.2817900812132,130.35316250014702,113.019535,53.398922,44.564371,14.139395,-96.020507,-3.328885,1.0
195,-80.34128557825467,247.80189054119037,124.6038368913126,113.019535,53.398922,44.564371,14.139395,-96.020507,-3.328885,1.0
196,-79.93960595196683,245.83061526887923,119.3959435793548,113.019535,53.398922,44.564371,14.139395,-96.020507,-3.328885,1.0
197,-79.21538469776891,243.7967908563828,114.94668564076942,113.019535,53.398922,44.564371,14.150396,-96.015924,-3.328885,1.0
198,-78.46025648988034,242.0926393058908,111.42773598622811,113.019535,53.398922,44.564256,14.161397,-96.015924,-3.328885,1.0
199,-77.8648372945993,240.86650167957666,108.91847311810541,113.019535,53.398922,44.564256,14.161397,-96.015924,-3.328885,1.0
200,-77.55675979017926,240.1361505935802,107.42575455715496,113.019535,53.398922,44.564256,14.161397,-96.015924,-3.328885,1.0
201,-77.5953261506297,239.83082843281545,106.78250142277327,,,,,,,
202,-77.96818240416384,239.8051221283959,106.63195971982502,,,,,,,
203,-78.65882394740792,239.97715139626206,106.66818997504507,,,,,,,
204,-79.68306990947144,240.50498245746684,106.86482936154938,,,,,,,
205,-81.0507147830643,241.6221426961149,107.31562175521464,,,,,,,
206,-82.651122577939,243.3700964997788,108.06461274652513,,,,,,,
207,-84.23418218591472,245.5337119050472,109.06306360613989,,,,,,,
208,-85.56361773983723,247.7796397817717,110.16752142976536,,,,,,,
209,-86.5352889546109,249.59072332634142,111.01543510213826,,,,,,,
210,-87.11483589897777,250.44674379540663,111.21248253012384,,,,,,,
211,-87.32046934469962,250.25009186905112,110.72425261548103,,,,,,,
212,-87.22265052366744,249.39991784929796,109.93415807294296,,,,,,,
213,-86.91454227386406,248.3363265766657,109.18660491251269,,,,,,,
214,-86.52332013139528,247.3089318971379,108.452688754251,,,,,,,
215,-86.18080228473558,246.46504956728955,107.57482419512067,,,,,,,
216,-85.96527308134839,245.8755104353712,106.60929768912123,,,,,,,
217,-85.88763497830061,245.53669760859768,105.86728058281409,,,,,,,
218,-85.91838127378111,245.41343563874034,105.58592696593927,,,,,,,
219,-85.95277235154965,245.4241365758767,105.63322861630705,,,,,,,
220,-85.87132686569123,245.47593023350768,105.74029445053998,,,,,,,
221,-85.64679015298076,245.51913048924408,105.77013623603754,,,,,,,
222,-85.359016325157,245.55498533128053,105.75813933915919,,,,,,,
223,-85.09906378455689,245.5904668498439,105.7577144798654,,,,,,,
224,-84.9256818512675,245.61897413668837,105.7716144247294,,,,,,,
225,-84.87273347283751,245.62973544923278,105.78148909009086,,,,,,,
